,coddpto,departamento,codmunicipio,municipio,cultivo,periodo,area_sembrada_ha,area_cosechada_ha,produccion_t,rendimiento_tha,Precipitación mm,Humedad %,Temperatura°C
126,13,Bolívar,"13,248",el guamo,tabaco negro,2016,5.0,4.0,12.0,3.0,937.0,73.9714695569015,29.030767452612114
127,13,Bolívar,"13,248",el guamo,yuca,2016,1000.0,800.0,6400.0,8.0,937.0,73.9714695569015,29.030767452612114
128,13,Bolívar,"13,268",el peñon,aguacate,2016,9.0,8.0,96.0,12.0,104.0,92.0,35.0
129,13,Bolívar,"13,268",el peñon,ahuyama,2016,43.0,40.0,480.0,12.0,104.0,92.0,35.0
130,13,Bolívar,"13,268",el peñon,ahuyama,2016,20.0,20.0,240.0,12.0,104.0,92.0,35.0
131,13,Bolívar,"13,268",el peñon,arroz secano manual,2016,10.0,10.0,15.0,1.5,104.0,92.0,35.0
132,13,Bolívar,"13,268",el peñon,frijol,2016,10.0,10.0,8.0,0.8,104.0,92.0,35.0
133,13,Bolívar,"13,268",el peñon,maiz tradicional,2016,153.0,80.0,120.0,1.5,104.0,92.0,35.0
134,13,Bolívar,"13,268",el peñon,maiz tradicional,2016,60.0,60.0,90.0,1.5,104.0,92.0,35.0
135,13,Bolívar,"13,268",el peñon,mango,2016,40.0,30.0,390.0,13.0,104.0,92.0,35.0
136,13,Bolívar,"13,268",el peñon,palma de aceite,2016,80.0,80.0,360.0,4.5,104.0,92.0,35.0
137,13,Bolívar,"13,268",el peñon,piña,2016,278.0,198.0,2376.0,12.0,104.0,92.0,35.0
138,13,Bolívar,"13,268",el peñon,platano,2016,158.0,120.0,480.0,4.0,104.0,92.0,35.0
139,13,Bolívar,"13,268",el peñon,yuca,2016,204.0,180.0,1800.0,10.0,104.0,92.0,35.0
140,13,Bolívar,"13,300",hatillo de loba,ahuyama,2016,30.0,25.0,300.0,12.0,2137.0,79.0,36.0
141,13,Bolívar,"13,300",hatillo de loba,ahuyama,2016,15.0,10.0,12.0,1.2,2137.0,79.0,36.0
142,13,Bolívar,"13,300",hatillo de loba,maiz tradicional,2016,100.0,80.0,120.0,1.5,2137.0,79.0,36.0
143,13,Bolívar,"13,300",hatillo de loba,maiz tradicional,2016,100.0,80.0,120.0,1.5,2137.0,79.0,36.0
144,13,Bolívar,"13,300",hatillo de loba,platano,2016,100.0,80.0,320.0,4.0,2137.0,79.0,36.0
145,13,Bolívar,"13,300",hatillo de loba,yuca,2016,60.0,50.0,400.0,8.0,2137.0,79.0,36.0
146,13,Bolívar,"13,417",magangue,ahuyama,2016,400.0,350.0,2975.0,8.5,1463.9333333333334,93.0,36.0
147,13,Bolívar,"13,417",magangue,ahuyama,2016,200.0,200.0,1800.0,9.0,1463.9333333333334,93.0,36.0
148,13,Bolívar,"13,417",magangue,ajonjoli,2016,600.0,600.0,480.0,0.8,1463.9333333333334,93.0,36.0
149,13,Bolívar,"13,417",magangue,arroz riego,2016,600.0,600.0,3600.0,6.0,1463.9333333333334,93.0,36.0
150,13,Bolívar,"13,417",magangue,arroz riego,2016,130.0,130.0,780.0,6.0,1463.9333333333334,93.0,36.0
151,13,Bolívar,"13,417",magangue,arroz secano mecanizado,2016,500.0,450.0,1575.0,3.5,1463.9333333333334,93.0,36.0
152,13,Bolívar,"13,417",magangue,arroz secano mecanizado,2016,500.0,500.0,1750.0,3.5,1463.9333333333334,93.0,36.0
153,13,Bolívar,"13,417",magangue,maiz tradicional,2016,1850.0,1750.0,3500.0,2.0,1463.9333333333334,93.0,36.0
154,13,Bolívar,"13,417",magangue,maiz tradicional,2016,1500.0,1300.0,1950.0,1.5,1463.9333333333334,93.0,36.0
155,13,Bolívar,"13,417",magangue,mango,2016,126.0,42.0,756.0,18.0,1463.9333333333334,93.0,36.0
156,13,Bolívar,"13,417",magangue,platano,2016,724.0,72.0,288.0,4.0,1463.9333333333334,93.0,36.0
