,CodigoEstacion,Categoria,Entidad,Departamento,Municipio,IdParametro,Etiqueta,Frecuencia,Fecha,Valor,Grado,Año
70,29030320,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,475.8,50,2019
71,29030320,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Arjona,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1014.2,50,2020
72,25020950,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2472.0,50,2017
73,25020950,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,2146.0,50,2018
74,25020950,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,2547.0,50,2019
75,25020950,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Magangue,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,2096.0,50,2020
76,29030280,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1759.0,50,2016
77,29030280,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,2069.0,50,2017
78,29030280,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1799.0,50,2018
79,29030280,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1275.0,50,2019
80,29030280,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,Mahates,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1518.0,4,2020
81,29030200,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Juan Nepomuceno,PRECIPITACION,PTPM_TT_A,Annual,2016-01-01,1931.6,50,2016
82,29030200,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Juan Nepomuceno,PRECIPITACION,PTPM_TT_A,Annual,2017-01-01,1796.8,50,2017
83,29030200,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Juan Nepomuceno,PRECIPITACION,PTPM_TT_A,Annual,2018-01-01,1549.0,50,2018
84,29030200,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Juan Nepomuceno,PRECIPITACION,PTPM_TT_A,Annual,2019-01-01,1558.0,50,2019
85,29030200,Pluviométrica,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Bolivar,San Juan Nepomuceno,PRECIPITACION,PTPM_TT_A,Annual,2020-01-01,1445.0,50,2020
